RecordId,ClosedYear,MonthOccurrence,County,NCIC,TotalNumberOfVictims,TotalNumberOfIndividualVictims,SuspectsRaceAsAGroup,TotalNumberOfSuspects,MostSeriousUcr,MostSeriousUcrType,MostSeriousLocation,MostSeriousBias,MostSeriousBiasType,MostSeriousVictimType,WeaponType,Offensive_Act,IsMultipleBias,TotalNumberOfIndividualVictimsAdult,TotalNumberOfIndividualVictimsJuvenile,TotalNumberOfSuspectsAdult,TotalNumberOfSuspectsJuvenile,SuspectsEthnicityAsAGroup
CA00-0000032396,2018,10,19,1942,1,1,White,1,Simple Assault,Violent Crimes,Air/Bus/Train Terminal,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,1,0,1,0,Not Hispanic or Latino
CA00-0000032397,2018,10,19,1942,1,1,Unknown,2,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,1,0,2,0,Hispanic or Latino
CA00-0000032398,2018,10,19,1942,1,1,White,1,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,Handgun,Other,,1,0,1,0,Hispanic or Latino
CA00-0000032399,2018,10,19,1942,1,1,White,1,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,"Blunt object (blugeon, club, etc.)",Other,,1,0,1,0,Not Hispanic or Latino
CA00-0000032400,2018,9,19,1942,1,1,White,1,Simple Assault,Violent Crimes,Parking Lot/Garage,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,Unknown,,,1,0,1,0,Not Hispanic or Latino
CA00-0000032401,2018,9,19,1942,1,1,White,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Jewish,Religion,Person,Unknown,Other,,1,0,1,0,Not Hispanic or Latino
CA00-0000032402,2018,10,30,3003,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Parking Lot/Garage,Anti-Asian,Race/Ethnicity/Ancestry,Business,,Graffiti,,0,0,0,0,Unknown
CA00-0000032403,2018,10,30,3003,1,1,Group of Multiple Races,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,1,0,1,0,Hispanic or Latino
CA00-0000032404,2018,10,37,3711,1,1,White,1,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Blunt object (blugeon, club, etc.)",Verbal slurs,,1,0,1,0,Not Hispanic or Latino
CA00-0000032405,2018,10,37,3711,1,1,White,1,Intimidation,Violent Crimes,Camp/Campground,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,Knife or other cutting or stabbing instrument,Verbal slurs,,1,0,1,0,Not Hispanic or Latino
CA00-0000032406,2018,10,37,3711,3,3,White,1,Simple Assault,Violent Crimes,Residence/Home/Driveway,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,3,0,1,0,Hispanic or Latino
CA00-0000032407,2018,10,37,3711,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation,Person,,Graffiti,,1,0,0,0,Unknown
CA00-0000032408,2018,10,37,3711,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Church/Synagogue/Temple,Anti-Gay (Male),Sexual Orientation,Religious,,Graffiti,,0,0,0,0,Unknown
CA00-0000032409,2018,10,37,3711,2,2,White,3,Aggravated Assault,Violent Crimes,Convenience Store,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Blunt object (blugeon, club, etc.)",Verbal slurs,,2,0,3,0,Hispanic or Latino
CA00-0000032410,2018,10,30,3026,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Church/Synagogue/Temple,Anti-Jewish,Religion,Religious,,Graffiti,,0,0,0,0,Unknown
CA00-0000032411,2018,10,44,4400,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Highway/Road/Alley/Street,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Other,,Daubing of swastika,,0,0,0,0,Unknown
CA00-0000032412,2018,10,19,1931,3,3,Group of Multiple Races,1,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,"Firearm (unknown whether handgun, rifle or shotgun)",Threatening letters/flyers/email,,1,2,0,1,Hispanic or Latino
CA00-0000032413,2018,10,19,1942,1,1,Asian,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,1,0,1,0,Not Hispanic or Latino
CA00-0000032414,2018,9,21,2109,3,3,White,1,Intimidation,Violent Crimes,Restaurant,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry,Person,,Annoying telephone calls/fax,,3,0,1,0,
CA00-0000032415,2018,10,43,4313,1,1,Group of Multiple Races,1,Destruction/Damage/Vandalism,Property Crimes,Drug Store/Dr Office/Hospital,Anti-Islamic (Muslim),Religion,Person,,Daubing of swastika,,1,0,1,0,Hispanic or Latino
CA00-0000032416,2018,10,43,4313,1,1,White,1,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Hindu,Religion,Person,,Annoying telephone calls/fax,,1,0,1,0,Unknown
CA00-0000032418,2018,10,43,4313,1,1,Unknown,0,Intimidation,Violent Crimes,Commercial/Office Building,Anti-Islamic (Muslim),Religion,Person,,Threatening letters/flyers/email,,1,0,0,0,Unknown
CA00-0000032419,2018,10,43,4313,2,2,Black or African American,1,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,"Blunt object (blugeon, club, etc.)",Verbal slurs,,2,0,1,0,Not Hispanic or Latino
CA00-0000032420,2018,10,43,4313,2,2,White,1,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation,Person,,Other,,2,0,1,0,Not Hispanic or Latino
CA00-0000032421,2018,10,43,4313,1,1,White,1,Intimidation,Violent Crimes,Government/Public Building,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,,Annoying telephone calls/fax,,1,0,1,0,Not Hispanic or Latino
CA00-0000032422,2018,10,10,1005,1,1,White,2,Aggravated Assault,Violent Crimes,Parking Lot/Garage,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,Vehicle,Verbal slurs,,1,0,2,0,Hispanic or Latino
CA00-0000032423,2018,10,10,1005,1,1,White,1,Intimidation,Violent Crimes,Air/Bus/Train Terminal,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,Unknown,Verbal slurs,,1,0,1,0,
CA00-0000032424,2018,10,10,1005,1,1,White,1,Intimidation,Violent Crimes,Service/Gas Station,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,Unknown,Verbal slurs,,1,0,1,0,Unknown
CA00-0000032425,2018,10,10,1005,1,1,White,1,Intimidation,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,Vehicle,Verbal slurs,,1,0,1,0,Unknown
CA00-0000032426,2018,11,19,1942,1,1,Unknown,1,Destruction/Damage/Vandalism,Property Crimes,Parking Lot/Garage,Anti-Jewish,Religion,Person,,Graffiti,,1,0,1,0,Unknown
CA00-0000032427,2018,10,10,1005,1,1,White,1,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Other (bottle, rocks, spitting)",Verbal slurs,,1,0,1,0,Unknown
CA00-0000032428,2018,10,10,1005,1,1,Black or African American,1,Intimidation,Violent Crimes,Other/Unknown,Anti-Lesbian,Sexual Orientation,Person,"Blunt object (blugeon, club, etc.)",Threatening letters/flyers/email,,1,0,1,0,Unknown
CA00-0000032429,2018,10,10,1005,1,1,White,1,Destruction/Damage/Vandalism,Property Crimes,Commercial/Office Building,Anti-Jewish,Religion,Person,Unknown,Daubing of swastika,,1,0,1,0,Hispanic or Latino
CA00-0000032430,2018,10,10,1005,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Church/Synagogue/Temple,Anti-Jewish,Religion,Religious,Unknown,Other,,0,0,0,0,Unknown
CA00-0000032431,2018,10,56,5608,1,1,White,1,Simple Assault,Violent Crimes,Parking Lot/Garage,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,1,0,1,0,
CA00-0000032432,2018,11,19,1942,1,1,Black or African American,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,1,0,1,0,Unknown
CA00-0000032433,2018,10,30,3019,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Service/Gas Station,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,,Graffiti,,1,0,0,0,Unknown
CA00-0000032434,2018,10,30,3019,1,1,White,1,Simple Assault,Violent Crimes,Residence/Home/Driveway,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,1,0,1,0,
CA00-0000032435,2018,10,37,3797,1,1,White,1,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Other (bottle, rocks, spitting)",Other,,1,0,1,0,
CA00-0000032436,2018,10,42,4297,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School-College/University,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation,Government,,Graffiti,,0,0,0,0,Unknown
CA00-0000032437,2018,11,19,1942,1,1,Unknown,1,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,,Verbal slurs,,1,0,1,0,Unknown
CA00-0000032438,2018,11,19,1942,1,1,Unknown,1,Simple Assault,Violent Crimes,Residence/Home/Driveway,Anti-Jewish,Religion,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,1,0,1,0,Unknown
CA00-0000032439,2018,10,39,3905,1,1,Unknown,0,Burglary,Property Crimes,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation,Person,,Graffiti,,1,0,0,0,Unknown
CA00-0000032440,2018,10,36,3612,1,1,Black or African American,1,Larceny-Theft,Property Crimes,Community Center,Anti-Physical Disability,Disability,Person,,Other,,1,0,1,0,Not Hispanic or Latino
CA00-0000032441,2018,10,36,3612,1,1,White,1,Intimidation,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,Shotgun,Verbal slurs,,1,0,1,0,Not Hispanic or Latino
CA00-0000032442,2018,10,33,3313,1,0,Group of Multiple Races,1,Destruction/Damage/Vandalism,Property Crimes,Grocery/Supermarket,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Business,,Graffiti,,0,0,1,0,Hispanic or Latino
CA00-0000032443,2018,11,19,1942,1,1,Unknown,1,Simple Assault,Violent Crimes,Restaurant,Anti-Jewish,Religion,Person,Unknown,Graffiti,,1,0,1,0,Unknown
CA00-0000032444,2018,11,19,1942,1,1,White,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Jewish,Religion,Person,Unknown,Verbal slurs,,1,0,1,0,Unknown
CA00-0000032445,2018,11,19,1942,1,1,Unknown,1,Simple Assault,Violent Crimes,Residence/Home/Driveway,Anti-Jewish,Religion,Person,Unknown,Graffiti,,1,0,1,0,Unknown
CA00-0000032446,2018,11,19,1942,1,1,Unknown,1,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,1,0,1,0,Unknown
CA00-0000032447,2018,10,44,4402,1,1,White,1,Intimidation,Violent Crimes,Shelter-Mission/Homeless,Anti-Jewish,Religion,Person,,Annoying telephone calls/fax,,1,0,1,0,
CA00-0000032448,2018,10,44,4402,1,1,White,1,Intimidation,Violent Crimes,Shelter-Mission/Homeless,Anti-Jewish,Religion,Person,,Annoying telephone calls/fax,,1,0,1,0,
CA00-0000032449,2018,11,19,1942,2,2,Black or African American,1,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Jewish,Religion,Person,Vehicle,Other,,2,0,1,0,Unknown
CA00-0000032450,2018,11,19,1942,1,1,Unknown,1,Destruction/Damage/Vandalism,Property Crimes,School-Elementary/Secondary,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry,Person,Unknown,Graffiti,,1,0,1,0,Hispanic or Latino
CA00-0000032451,2018,10,33,3311,1,1,Unknown,1,Simple Assault,Violent Crimes,Restaurant,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,1,0,1,0,Hispanic or Latino
CA00-0000032452,2018,10,1,102,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School-Elementary/Secondary,Anti-Jewish,Religion,Government,,Daubing of swastika,,0,0,0,0,Unknown
CA00-0000032453,2018,10,19,1953,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Church/Synagogue/Temple,Anti-Other Religion,Religion,Religious,,Daubing of swastika,,0,0,0,0,Unknown
CA00-0000032454,2018,10,19,1900,1,1,Unknown,1,Aggravated Assault,Violent Crimes,Jail/Prison,Anti-Gay (Male),Sexual Orientation,Person,"Other (bottle, rocks, spitting)",Verbal slurs,,1,0,1,0,Hispanic or Latino
CA00-0000032455,2018,10,19,1927,1,1,Unknown,2,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,0,1,2,0,Hispanic or Latino
CA00-0000032456,2018,10,19,1949,2,2,Unknown,0,Intimidation,Violent Crimes,Grocery/Supermarket,Anti-Citizenship Status,Race/Ethnicity/Ancestry,Person,,Annoying telephone calls/fax,,2,0,0,0,Unknown
CA00-0000032457,2018,10,19,192U,1,1,White,1,Aggravated Assault,Violent Crimes,Parking Lot/Garage,Anti-Lesbian,Sexual Orientation,Person,Vehicle,Verbal slurs,,1,0,1,0,Not Hispanic or Latino
CA00-0000032458,2018,11,19,1942,1,0,Unknown,1,Destruction/Damage/Vandalism,Property Crimes,Park/Playground,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Government,,Graffiti,,0,0,1,0,Unknown
CA00-0000032459,2018,11,19,1942,1,1,White,1,Simple Assault,Violent Crimes,Shelter-Mission/Homeless,Anti-Transgender,Gender Nonconforming,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,1,0,1,0,Not Hispanic or Latino
CA00-0000032461,2018,10,19,1939,1,1,Black or African American,1,Aggravated Assault,Violent Crimes,Service/Gas Station,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,"Other (bottle, rocks, spitting)",Verbal slurs,,1,0,1,0,Not Hispanic or Latino
CA00-0000032462,2018,11,19,1942,1,1,Unknown,1,Destruction/Damage/Vandalism,Property Crimes,Highway/Road/Alley/Street,Anti-Jewish,Religion,Person,,Daubing of swastika,,1,0,1,0,Unknown
CA00-0000032464,2018,11,37,3707,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,,Graffiti,,1,0,0,0,Unknown
CA00-0000032465,2018,9,50,5007,1,1,Unknown,0,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation,Person,,Graffiti,,1,0,0,0,Unknown
CA00-0000032466,2018,11,19,1942,1,1,Unknown,1,Intimidation,Violent Crimes,Highway/Road/Alley/Street,Anti-Jewish,Religion,Person,Unknown,Graffiti,,1,0,1,0,Unknown
CA00-0000032467,2018,11,19,1942,1,1,Unknown,1,Aggravated Assault,Violent Crimes,Residence/Home/Driveway,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,Knife or other cutting or stabbing instrument,Other,,1,0,1,0,Hispanic or Latino
CA00-0000032468,2018,11,19,1942,1,1,White,1,Simple Assault,Violent Crimes,Parking Lot/Garage,Anti-White,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,1,0,1,0,Not Hispanic or Latino
CA00-0000032469,2018,11,19,1942,1,1,White,1,Simple Assault,Violent Crimes,Rental Storage Facility,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,Knife or other cutting or stabbing instrument,Verbal slurs,,1,0,1,0,Unknown
CA00-0000032471,2018,11,19,1942,1,1,Unknown,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,"Other (bottle, rocks, spitting)",Verbal slurs,,1,0,1,0,Hispanic or Latino
CA00-0000032472,2018,10,19,1941,2,2,Black or African American,3,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation,Person,"Other (bottle, rocks, spitting)",Other,,2,0,3,0,
CA00-0000032473,2018,11,19,1942,1,1,White,1,Simple Assault,Violent Crimes,Community Center,Anti-Asian,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,1,0,1,0,Hispanic or Latino
CA00-0000032474,2018,11,19,1942,1,0,Unknown,1,Destruction/Damage/Vandalism,Property Crimes,Department/Discount Store,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry,Business,,Graffiti,,0,0,1,0,Unknown
CA00-0000032475,2018,11,19,1942,1,0,Unknown,1,Destruction/Damage/Vandalism,Property Crimes,Commercial/Office Building,Anti-Jewish,Religion,Business,,Graffiti,,0,0,1,0,Unknown
CA00-0000032476,2018,11,19,1942,1,1,Black or African American,2,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,1,0,2,0,Not Hispanic or Latino
CA00-0000032477,2018,11,19,1942,1,1,White,1,Intimidation,Violent Crimes,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,1,0,1,0,Not Hispanic or Latino
CA00-0000032478,2018,11,19,1942,1,1,Unknown,5,Robbery,Violent Crimes,Residence/Home/Driveway,Anti-Transgender,Gender Nonconforming,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,1,0,5,0,Hispanic or Latino
CA00-0000032479,2018,8,45,4502,1,1,White,1,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,,Verbal slurs,,1,0,1,0,
CA00-0000032480,2018,8,45,4502,1,1,White,2,Intimidation,Violent Crimes,Department/Discount Store,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,,Verbal slurs,,1,0,2,0,
CA00-0000032481,2018,10,57,5701,1,1,White,1,Intimidation,Violent Crimes,Restaurant,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,,Verbal slurs,,1,0,1,0,
CA00-0000032482,2018,10,57,5701,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School-Elementary/Secondary,Anti-Jewish,Religion,Government,,Graffiti,,0,0,0,0,Unknown
CA00-0000032483,2018,11,19,1942,1,0,Unknown,1,Destruction/Damage/Vandalism,Property Crimes,Other/Unknown,Anti-White,Race/Ethnicity/Ancestry,Business,Unknown,Graffiti,,0,0,1,0,Unknown
CA00-0000032484,2018,11,19,1942,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,,Damage to vehicle,,1,0,0,0,Unknown
CA00-0000032485,2018,11,19,1942,1,1,White,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Jewish,Religion,Person,Unknown,Other,,1,0,1,0,Unknown
CA00-0000032486,2018,9,19,1942,1,1,White,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Jewish,Religion,Person,Unknown,Other,,1,0,1,0,Not Hispanic or Latino
CA00-0000032487,2018,11,1,107,1,1,White,4,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry,Person,"Other (bottle, rocks, spitting)",Graffiti,,0,1,1,3,Not Hispanic or Latino
CA00-0000032488,2018,11,56,5609,1,1,White,1,Aggravated Assault,Violent Crimes,School-Elementary/Secondary,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,Vehicle,Other,,1,0,1,0,
CA00-0000032489,2018,6,38,3801,1,0,Unknown,0,Arson,Property Crimes,Highway/Road/Alley/Street,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation,Business,,Other,,0,0,0,0,Unknown
CA00-0000032490,2018,7,38,3801,3,3,White,1,Intimidation,Violent Crimes,Restaurant,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,Knife or other cutting or stabbing instrument,Verbal slurs,,3,0,1,0,
CA00-0000032491,2018,7,38,3801,1,1,Black or African American,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,1,0,1,0,
CA00-0000032492,2018,7,38,3801,1,1,Black or African American,1,Simple Assault,Violent Crimes,Air/Bus/Train Terminal,Anti-White,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,1,0,1,0,
CA00-0000032493,2018,8,38,3801,4,4,Black or African American,2,Simple Assault,Violent Crimes,Field/Woods/Park,Anti-Islamic (Muslim),Religion,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,2,2,0,2,
CA00-0000032494,2018,7,38,3801,1,1,White,2,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,Knife or other cutting or stabbing instrument,Verbal slurs,,1,0,2,0,Hispanic or Latino
CA00-0000032495,2018,8,38,3801,1,1,White,1,Simple Assault,Violent Crimes,Residence/Home/Driveway,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,1,0,1,0,
CA00-0000032496,2018,9,38,3801,1,1,Black or African American,1,Simple Assault,Violent Crimes,Air/Bus/Train Terminal,Anti-Transgender,Gender Nonconforming,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,1,0,1,0,
CA00-0000032497,2018,9,38,3801,1,1,Black or African American,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,1,0,1,0,
CA00-0000032498,2018,9,38,3801,1,1,White,1,Aggravated Assault,Violent Crimes,Restaurant,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,1,0,1,0,
CA00-0000032499,2018,10,38,3801,1,1,Unknown,1,Intimidation,Violent Crimes,Highway/Road/Alley/Street,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,,Verbal slurs,,1,0,1,0,
CA00-0000032500,2018,10,38,3801,1,1,Black or African American,1,Simple Assault,Violent Crimes,Air/Bus/Train Terminal,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,"Other (bottle, rocks, spitting)",Verbal slurs,,1,0,1,0,
CA00-0000032501,2018,10,38,3801,1,1,White,1,Simple Assault,Violent Crimes,Air/Bus/Train Terminal,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,1,0,1,0,Hispanic or Latino
CA00-0000032502,2018,10,38,3801,1,1,White,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,1,0,1,0,
CA00-0000032503,2018,11,38,3801,2,2,White,2,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Transgender,Gender Nonconforming,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,2,0,2,0,Hispanic or Latino
CA00-0000032504,2018,11,38,3801,1,1,Unknown,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,1,0,1,0,
CA00-0000032505,2018,11,38,3801,1,1,Unknown,1,Intimidation,Violent Crimes,Commercial/Office Building,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,,Verbal slurs,,1,0,1,0,
CA00-0000032506,2018,11,38,3801,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Highway/Road/Alley/Street,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry,Person,,Graffiti,,1,0,0,0,Unknown
CA00-0000032507,2018,12,38,3801,1,1,White,1,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Arab,Race/Ethnicity/Ancestry,Person,,Verbal slurs,,1,0,1,0,
CA00-0000032508,2018,11,38,3801,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,,Graffiti,,1,0,0,0,Unknown
CA00-0000032509,2018,9,38,3801,1,1,Black or African American,1,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,1,0,1,0,
CA00-0000032510,2018,11,19,1942,1,1,Unknown,1,Destruction/Damage/Vandalism,Property Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,,Graffiti,,1,0,1,0,Unknown
CA00-0000032511,2018,11,27,2708,1,1,Group of Multiple Races,1,Aggravated Assault,Violent Crimes,Field/Woods/Park,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,1,0,1,0,Hispanic or Latino
CA00-0000032512,2018,11,12,1208,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School-College/University,Anti-Female,Gender,Government,,Other,,0,0,0,0,Unknown
CA00-0000032513,2018,11,12,1208,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School-College/University,Anti-Jewish,Religion,Person,,Daubing of swastika,,1,0,0,0,Unknown
CA00-0000032514,2018,11,12,1208,1,1,White,1,Aggravated Assault,Violent Crimes,School-College/University,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Other gun (pellet, BB, stun gun, etc.)",Verbal slurs,,1,0,1,0,
CA00-0000032515,2018,11,37,3711,1,1,Black or African American,1,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,1,0,1,0,Not Hispanic or Latino
CA00-0000032517,2018,11,36,3616,1,1,White,1,Destruction/Damage/Vandalism,Property Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Other (bottle, rocks, spitting)",Verbal slurs,,1,0,1,0,Unknown
